4k 8K resolution 1920x1080 and 3840x2160	19,74,220,23,42,10935,220,16,24,17,15,87,16,15,23,15,323,220,18,23,19,15,87,17,16,21,15
render at 512x512 then upscale to 2048x2048	7322,518,220,20,16,17,87,20,16,17,1221,73923,311,220,17,15,19,23,87,17,15,19,23
f/1.8 aperture, ISO 100, 1/200s shutter, 85mm lens	69,14,16,13,23,57001,11,21940,220,16,15,15,11,220,16,14,17,15,15,82,47956,11,220,23,20,3821,18342
$19.99 sale, 50% off, was $39.99	3,16,24,13,24,24,6278,11,220,20,15,4,1007,11,572,400,18,24,13,24,24
year 2026, version 2.5.1, build #4096	3157,220,17,15,17,21,11,2319,220,17,13,20,13,16,11,1936,671,19,15,24,21
temperature -40 to 120 degrees, 99.9% accuracy	34558,481,19,15,311,220,16,17,15,12348,11,220,24,24,13,24,4,13403
sunset vibes #photography #naturelovers #goldenhour #nofilter	82,36804,89849,671,51299,5696,671,66712,385,3004,671,97235,24677,671,26654,2044
@username posted a #cool pic	31,5113,8454,264,671,42196,10319
trending: #AI #art #midjourney #stablediffusion	83,61994,25,671,15469,671,471,671,16106,29262,3437,671,267,2312,3092,7560
she said “hello there” with a smile	31058,1053,1036,14990,1052,854,448,264,15289
it’s a beautiful day, isn’t it	275,748,264,6233,1899,11,4436,1405,432
it's a beautiful day, isn't it	275,594,264,6233,1899,11,4436,944,432
'tis the season to be jolly	944,285,279,3200,311,387,502,8618
DON'T PANIC and CARRY ON	84641,17323,72281,1317,323,356,76864,6197
the 'quoted' word and the "double quoted" word	1782,364,63725,6,3409,323,279,330,4331,23237,1,3409
rock 'n' roll all night	20521,364,77,6,6502,678,3729
y'all'd've been there	88,64848,4172,3003,1012,1052
https://example.com/image.png?width=512&height=512	2428,1110,8687,905,23349,3508,30,3098,28,20,16,17,5,2563,28,20,16,17
see https://github.com/user/repo/blob/main/file.py#L42	4060,3703,1110,5204,905,11739,10758,5368,34827,15351,23903,7197,2,43,19,17
C:\\Users\\name\\Pictures\\img.jpg	34,7190,7137,59,606,32705,7489,59,1892,4819
/home/user/projects/model.safetensors	18215,11739,39606,24882,514,2577,295,26529
ftp://files.example.org:21/path	25068,1110,7198,7724,2659,25,17,16,50976
   leading spaces here	256,6388,12621,1588
trailing spaces here   	376,14277,12621,1588,262
  both  ends  spaced  	220,2176,220,10335,220,63828,256
\ttab indented prompt	58149,1257,15864,9934
trailing tab\t	376,14277,5651,197
mixed\t \tspaces and tabs	56685,3677,1903,27338,323,22398
line one\nline two\nline three	1056,825,198,1056,1378,198,1056,2326
windows\r\nline\r\nendings	27077,319,1056,319,408,819
\n\nleading newlines	271,20654,501,7969
double  spaces   triple    quad	4331,220,12621,256,23725,262,27082
	
 	220
a	64
1	16
.	13
!	0
é	963
😀	141334
中	15946
DON'T	84641,17323
CAN'T WON'T SHAN'T	41955,17323,97367,17323,6434,1093,17323
I'M HE'S THEY'RE WE'VE YOU'LL SHE'D	40,27603,11685,13272,62493,94153,19677,6,4491,14985,6,4086,53595,27705
It'S a TeSt'Re mIxEd'Ve	2132,13272,264,2655,623,49427,296,96112,2715,6,42612
word.word,word;word:word	1158,22579,11,1158,26,1158,25,1158
(open)[bracket]{brace}<angle>	30981,6620,1323,5709,15370,31237,70793,4044,29
a.b.c.d.e	64,948,520,950,1734
...leading dots word	1112,20654,30994,3409
word!!!and more	1158,12069,437,803
<|im_start|>system prompt here<|im_end|>	151644,8948,9934,1588,151645
use <think> reasoning </think> then answer	810,220,151667,32711,220,151668,1221,4226
tool: <tool_call>do thing</tool_call> done	14172,25,220,151657,2982,3166,151658,2814
two<|im_start|><|im_end|>adjacent	19789,151644,151645,24739,18181
partial <|im_ token here	37420,82639,318,62,3950,1588
family emoji 👨‍👩‍👧 here	18984,42365,61804,101,378,235,145233,378,235,145665,1588
flag 🇺🇸 emoji	9903,11162,229,118,145383,42365
skin tone 👍🏽 thumbs up	36182,16232,61804,235,145375,56849,705
